"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"190930A.RUN";;;;;;;;;;;;;;;;;
"DATE";"30/09/2019";;;;;;;;;;;;;;;;;
"TIME";"13:50:03";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"suivi mesocosmes milliQ";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-5706;;;-6693;;;-8341;;;
"Gain";;;;;;;;;139;;;50;;;144;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"30/09/2019 13:52:35";;9.959;58053;;9.656;58283;;9.755;62284;;
"cal10";2;2;"CALB";0;0;0;"30/09/2019 13:53:35";10.000;9.997;58258;10.000;10.098;60676;10.000;10.000;63232;;
"cal5";3;3;"CALB";0;0;0;"30/09/2019 13:54:35";5.000;4.882;30815;5.000;4.803;32002;5.000;4.994;43843;;
"cal2";4;4;"CALB";0;0;0;"30/09/2019 13:55:35";2.000;1.891;14770;2.000;1.911;16341;2.000;1.827;31581;;
"cal1";5;5;"CALB";0;0;0;"30/09/2019 13:56:35";1.000;1.551;12944;1.000;0.960;11194;1.000;1.136;28904;;
"cal0.5";6;6;"CALB";0;0;0;"30/09/2019 13:57:35";0.500;0.344;6474;0.500;0.727;9930;0.500;0.735;27350;;
"cal0.1";7;7;"CALB";0;0;0;"30/09/2019 13:58:35";0.100;-0.065;4278;0.100;0.101;6540;0.100;-0.093;24145;;
"Drift";8;8;"DRIF";0;0;0;"30/09/2019 13:59:35";;9.986;58199;;9.856;59367;;10.392;64748;;
"A0 20190906 08:27";9;9;"SAMP";0;0;0;"30/09/2019 14:00:35";;-0.174;3692;;0.413;8228;;0.000;0;;
"A0 20190909 13:46";10;10;"SAMP";0;0;0;"30/09/2019 14:01:35";;-0.075;4224;;-0.134;5268;;-1.481;18769;;
"A0 20190911 09:58";11;11;"SAMP";0;0;0;"30/09/2019 14:02:35";;-0.178;3670;;0.358;7930;;-1.412;19036;;
"A0 20190913 08:37";12;12;"SAMP";0;0;0;"30/09/2019 14:03:35";;-0.201;3547;;0.615;9325;;-1.135;20107;;
"A0 20190917 09:17";13;13;"SAMP";0;0;0;"30/09/2019 14:04:35";;-0.213;3486;;0.882;10767;;-1.872;17253;;
"A0 20190918 08:40";14;14;"SAMP";0;0;0;"30/09/2019 14:05:35";;-0.196;3577;;2.218;18003;;-1.495;18713;;
"A0 20190920 09:14";15;15;"SAMP";0;0;0;"30/09/2019 14:06:35";;-0.138;3888;;0.068;6362;;-1.723;17829;;
"A0 20190923 08:45";16;16;"SAMP";0;0;0;"30/09/2019 14:07:35";;-0.017;4534;;0.540;8917;;-1.290;19507;;
"A0 20190925 09:36";17;17;"SAMP";0;0;0;"30/09/2019 14:08:35";;-0.182;3649;;0.484;8616;;-1.169;19977;;
"A0 20190930 08:46";18;18;"SAMP";0;0;0;"30/09/2019 14:09:35";;-0.174;3695;;0.389;8100;;-1.363;19226;;
"B0 20190906 08:27";19;19;"SAMP";0;0;0;"30/09/2019 14:10:35";;-0.214;3477;;-0.068;5627;;-1.665;18056;;
"B0 20190909 13:46";20;20;"SAMP";0;0;0;"30/09/2019 14:11:35";;-0.190;3608;;0.177;6954;;-1.790;17573;;
"B0 20190911 09:58";21;21;"SAMP";0;0;0;"30/09/2019 14:12:35";;-0.207;3517;;-0.047;5741;;-1.279;19549;;
"B0 20190913 08:37";22;22;"SAMP";0;0;0;"30/09/2019 14:13:35";;-0.211;3492;;0.148;6796;;-1.172;19964;;
"B0 20190917 09:17";23;23;"SAMP";0;0;0;"30/09/2019 14:14:35";;-0.210;3500;;0.823;10448;;-1.023;20542;;
